pair_id,trial_id,correct_sent,wrong_sent,ratio_wrong,avg_len
116_216,12,2,0,0,5.5
116_216,13,1,1,0.5,4
116_216,14,7,2,0.222222222,6.777777778
116_216,15,0,1,1,5
116_216,16,0,4,1,1
116_216,17,1,2,0.666666667,4
116_216,18,5,2,0.285714286,1.714285714
116_216,19,3,1,0.25,5.75
116_216,20,2,3,0.6,5.8
116_216,21,2,1,0.333333333,1
116_216,23,4,5,0.555555556,1.222222222
116_216,24,5,2,0.285714286,2.285714286
116_216,25,6,4,0.4,1.9
116_216,26,4,5,0.555555556,2
116_216,27,4,4,0.5,1.875
116_216,28,9,7,0.4375,2.875
116_216,29,4,2,0.333333333,2
116_216,30,5,1,0.166666667,2.333333333
116_216,31,4,5,0.555555556,1.666666667
116_216,32,12,19,0.612903226,3.774193548
116_216,34,2,3,0.6,2.4
116_216,35,21,20,0.487804878,2.658536585
116_216,36,9,4,0.307692308,3.076923077
116_216,37,6,1,0.142857143,3.857142857
116_216,38,2,3,0.6,2.8
116_216,39,6,10,0.625,3.6875
116_216,40,1,1,0.5,4.5
116_216,41,16,7,0.304347826,3.173913043
116_216,42,4,9,0.692307692,4.923076923
116_216,43,5,2,0.285714286,2.714285714
116_216,45,7,4,0.363636364,3.090909091
116_216,46,3,6,0.666666667,3
116_216,47,3,2,0.4,2
116_216,48,3,3,0.5,1.666666667
116_216,49,4,6,0.6,3
116_216,50,6,13,0.684210526,1.894736842
116_216,51,5,8,0.615384615,3.384615385
116_216,52,4,3,0.428571429,4.857142857
116_216,53,8,8,0.5,3.5
116_216,54,2,7,0.777777778,3.5
