trial_id,pair_id,trial_number,condition,target_word,duration,clue_giver_start,elapsed_duration,success_duration,success_text_raw,time_to_success,clue_giver_leak,clue_giver_leak_time,success,note
108_208_12_1_20250114_162456_flower_ground,108_208,12,ground,flower,13.815873015873017,2.01,11.805873015873017,True,True,10.026,False,,True,
108_208_13_1_20250114_162512_traffic_ground,108_208,13,ground,traffic,14.67501133786848,1.367,13.308011337868479,True,True,8.027999999999999,False,,True,
108_208_14_1_20250114_162535_zipper_ground,108_208,14,ground,zipper,21.36235827664399,1.186,20.17635827664399,True,True,18.372,False,,True,
108_208_15_1_20250114_162542_gravy_ground,108_208,15,ground,gravy,7.082086167800454,1.361,5.721086167800454,True,True,3.3790000000000004,False,,True,
108_208_16_1_20250114_162559_siren_ground,108_208,16,ground,siren,15.882448979591835,1.559,14.323448979591836,True,True,11.71,False,,True,
108_208_17_1_20250114_162610_cherry_ground,108_208,17,ground,cherry,9.752380952380951,1.287,8.46538095238095,True,True,5.189,False,,True,
108_208_18_1_20250114_162618_coffee_ground,108_208,18,ground,coffee,7.151746031746032,1.417,5.734746031746032,True,True,3.6960000000000006,False,,True,
108_208_19_1_20250114_162700_cologne_ground,108_208,19,ground,cologne,41.05287981859411,2.106,38.946879818594105,True,True,36.638,False,,True,
108_208_20_1_20250114_162723_bitter_ground,108_208,20,ground,bitter,21.73387755102041,1.498,20.23587755102041,True,True,18.287,False,,True,
108_208_21_1_20250114_162731_sugar_ground,108_208,21,ground,sugar,6.617687074829932,1.234,5.383687074829932,True,True,3.0250000000000004,False,,True,
108_208_23_1_20250114_162817_tiger_ground,108_208,23,ground,tiger,21.803537414965987,4.63,17.17353741496599,True,True,13.844000000000001,False,,True,
108_208_24_1_20250114_162831_exam_ground,108_208,24,ground,exam,12.770975056689345,1.115,11.655975056689345,True,True,9.025,False,,True,
108_208_25_1_20250114_162844_puppy_ground,108_208,25,ground,puppy,12.097596371882084,2.903,9.194596371882083,True,True,6.488999999999999,False,,True,
108_208_26_1_20250114_162904_hamster_ground,108_208,26,ground,hamster,19.481541950113375,1.58,17.901541950113376,True,True,15.488000000000001,False,,True,
108_208_27_1_20250114_162936_bacon_ground,108_208,27,ground,bacon,30.766439909297052,3.875,26.891439909297052,True,True,23.946,False,,True,
108_208_28_1_20250114_162956_river_ground,108_208,28,ground,river,18.22766439909297,2.929,15.298664399092969,True,True,10.922,False,,True,
108_208_29_1_20250114_163011_walnut_ground,108_208,29,ground,walnut,14.837551020408164,1.945,12.892551020408163,True,True,10.286999999999999,False,,True,
108_208_30_1_20250114_163024_butter_ground,108_208,30,ground,butter,11.331337868480723,4.908,6.423337868480723,True,True,4.377,False,,True,
