trial_id,pair_id,trial_number,condition,target_word,avg_gest_duration,gest_per_sec
108_208_28_1_20250114_162956_river_ground,108_208,28,ground,river,2.333333333333334,0.054945054945054944
108_208_29_1_20250114_163011_walnut_ground,108_208,29,ground,walnut,0.21333333333333376,0.33707865168539325
108_208_30_1_20250114_163024_butter_ground,108_208,30,ground,butter,0.0333333333333332,0.08849557522123894
108_208_31_1_20250114_163033_leather_ground,108_208,31,ground,leather,0,0
108_208_32_1_20250114_163057_chlorine_ground,108_208,32,ground,chlorine,0.6866666666666665,0.21520803443328554
108_208_34_1_20250114_163148_movie_board,108_208,34,board,movie,1.3222222222222217,0.2694610778443114
108_208_35_1_20250114_163156_pasta_board,108_208,35,board,pasta,0.4666666666666668,0.6976744186046512
108_208_36_1_20250114_163248_balloon_board,108_208,36,board,balloon,0.6374999999999995,0.6189555125725338
108_208_37_1_20250114_163259_muscle_board,108_208,37,board,muscle,0.3466666666666664,0.5494505494505495
108_208_38_1_20250114_163310_birthday_board,108_208,38,board,birthday,0.6111111111111112,0.8256880733944953
108_208_39_1_20250114_163319_beauty_board,108_208,39,board,beauty,0.34166666666666656,0.4858299595141701
108_208_40_1_20250114_163328_christmas_board,108_208,40,board,christmas,0.6500000000000001,0.547945205479452
108_208_41_1_20250114_163344_trumpet_board,108_208,41,board,trumpet,0.0666666666666682,0.07556675062972293
108_208_42_1_20250114_163352_music_board,108_208,42,board,music,1.9666666666666668,0.13636363636363638
108_208_43_1_20250114_163408_hunger_board,108_208,43,board,hunger,0.7148148148148141,0.5684210526315789
108_208_45_1_20250114_163506_sushi_board,108_208,45,board,sushi,1.2527777777777778,0.5825242718446602
108_208_46_1_20250114_163523_jungle_board,108_208,46,board,jungle,2.3555555555555556,0.17964071856287425
108_208_47_1_20250114_163536_yellow_board,108_208,47,board,yellow,0.5476190476190474,0.6017191977077364
108_208_48_1_20250114_163634_flannel_board,108_208,48,board,flannel,0.778205128205127,0.4615384615384615
108_208_49_1_20250114_163641_doughnut_board,108_208,49,board,doughnut,0,0
108_208_50_1_20250114_163655_picture_board,108_208,50,board,picture,0.08888888888888974,0.23316062176165803
108_208_51_1_20250114_163806_spinach_board,108_208,51,board,spinach,0.6955555555555548,0.21448999046711154
108_208_52_1_20250114_163842_blanket_board,108_208,52,board,blanket,0,0
108_208_53_1_20250114_163852_pillow_board,108_208,53,board,pillow,0.08333333333333301,0.2222222222222222
108_208_54_1_20250114_163903_soda_board,108_208,54,board,soda,0.5333333333333333,0.3896103896103896
116_216_12_1_20250116_102514_butter_board,116_216,12,board,butter,0.8000000000000003,0.27522935779816515
116_216_13_1_20250116_102527_traffic_board,116_216,13,board,traffic,0.9199999999999999,0.43227665706051877
116_216_14_1_20250116_102556_picture_board,116_216,14,board,picture,0.48730158730158674,0.7351225204200701
116_216_15_1_20250116_102602_siren_board,116_216,15,board,siren,0.32857142857142857,1.3125
116_216_16_1_20250116_102611_pasta_board,116_216,16,board,pasta,0.23666666666666658,1.2605042016806722
116_216_17_1_20250116_102622_yellow_board,116_216,17,board,yellow,1.3277777777777784,0.5901639344262295
116_216_18_1_20250116_102638_hunger_board,116_216,18,board,hunger,0.38627450980392125,1.1111111111111112
116_216_19_1_20250116_102654_leather_board,116_216,19,board,leather,0.6238095238095236,0.4697986577181208
116_216_20_1_20250116_102710_pillow_board,116_216,20,board,pillow,0.36999999999999983,1.348314606741573
116_216_21_1_20250116_102716_muscle_board,116_216,21,board,muscle,0.2999999999999998,0.46153846153846156
116_216_23_1_20250116_102753_doughnut_ground,116_216,23,ground,doughnut,0.32222222222222346,0.2662721893491124
116_216_24_1_20250116_102808_bacon_ground,116_216,24,ground,bacon,0.28717948717948727,0.9535452322738387
116_216_25_1_20250116_102832_puppy_ground,116_216,25,ground,puppy,0.32051282051282054,0.5794947994056463
116_216_26_1_20250116_102855_sugar_ground,116_216,26,ground,sugar,0.38148148148148103,0.8059701492537316
116_216_27_1_20250116_102911_zipper_ground,116_216,27,ground,zipper,0.2787878787878786,0.6976744186046512
116_216_28_1_20250116_102950_cologne_ground,116_216,28,ground,cologne,0.28888888888888803,0.3964757709251101
116_216_29_1_20250116_103005_hamster_ground,116_216,29,ground,hamster,0.15000000000000036,0.43269230769230765
116_216_30_1_20250116_103021_tiger_ground,116_216,30,ground,tiger,0.3212121212121206,0.7268722466960352
116_216_31_1_20250116_103035_chlorine_ground,116_216,31,ground,chlorine,0.6888888888888888,0.2272727272727273
116_216_32_1_20250116_103144_walnut_ground,116_216,32,ground,walnut,0.26274509803921364,0.5004906771344455
116_216_34_1_20250116_103225_flower_ground,116_216,34,ground,flower,0.4242424242424242,1.0576923076923077
116_216_35_1_20250116_103333_flannel_ground,116_216,35,ground,flannel,0.3388235294117652,1.28334172118772
116_216_36_1_20250116_103426_jungle_ground,116_216,36,ground,jungle,0.5481481481481489,0.3276699029126214
116_216_37_1_20250116_103447_beauty_ground,116_216,37,ground,beauty,0.5499999999999993,0.9819967266775778
116_216_38_1_20250116_103502_coffee_ground,116_216,38,ground,coffee,0.49523809523809487,0.9952606635071091
116_216_39_1_20250116_103539_birthday_ground,116_216,39,ground,birthday,0.6711111111111112,0.820419325432999
116_216_40_1_20250116_103547_music_ground,116_216,40,ground,music,0.39523809523809533,1.099476439790576
116_216_41_1_20250116_103635_soda_ground,116_216,41,ground,soda,0.48787878787878797,1.187904967602592
116_216_42_1_20250116_103705_exam_ground,116_216,42,ground,exam,0.8028985507246376,0.7849829351535836
116_216_43_1_20250116_103720_bitter_ground,116_216,43,ground,bitter,0.7375,0.5660377358490566
116_216_45_1_20250116_103813_gravy_board,116_216,45,board,gravy,1.0200000000000005,0.6056527590847914
116_216_46_1_20250116_103828_cherry_board,116_216,46,board,cherry,0.9444444444444444,0.6040268456375839
116_216_47_1_20250116_103841_sushi_board,116_216,47,board,sushi,0.8733333333333336,0.43478260869565216
116_216_48_1_20250116_103854_river_board,116_216,48,board,river,0.5416666666666666,0.6741573033707865
116_216_49_1_20250116_103913_blanket_board,116_216,49,board,blanket,0.5818181818181818,1.1764705882352942
116_216_50_1_20250116_103951_spinach_board,116_216,50,board,spinach,0.4777777777777775,0.820419325432999
116_216_51_1_20250116_104027_movie_board,116_216,51,board,movie,0.5982456140350878,0.5523255813953488
116_216_52_1_20250116_104050_christmas_board,116_216,52,board,christmas,3.399999999999999,0.2748091603053436
116_216_53_1_20250116_104129_trumpet_board,116_216,53,board,trumpet,0.5625000000000001,0.633245382585752
116_216_54_1_20250116_104150_balloon_board,116_216,54,board,balloon,0.28888888888888903,0.30201342281879195
